Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
22	1	0.000103	3.99	3.71	70.2	-33.9	48.8	70.2	-33.9	48.8	184	70.2	-33.9	48.8	184
21	1	0.000597	3.22	3.24	29.6	11.2	-14.5	29.6	11.2	-14.5	252	29.6	11.2	-14.5	252
20	1	0.000266	3.58	3.46	2.51	12	-13.8	2.51	12	-13.8	463	2.51	12	-13.8	463
19	1	0.000643	3.19	3.22	53.4	23.6	-17.3	53.4	23.6	-17.3	586	53.4	23.6	-17.3	586
18	1	0.000533	3.27	3.27	10	67.4	-23.7	10	67.4	-23.7	197	10	67.4	-23.7	197
17	1	0.000897	3.05	3.12	59.9	-1.92	-7.38	59.9	-1.92	-7.38	211	59.9	-1.92	-7.38	211
16	1	0.00058	3.24	3.25	43	-1.44	-6.98	43	-1.44	-6.98	523	43	-1.44	-6.98	523
15	1	0.0002	3.7	3.54	-25	-28.2	5.24	-25	-28.2	5.24	183	-25	-28.2	5.24	183
14	1	0.000752	3.12	3.17	-0.85	3.92	-1.02	-0.85	3.92	-1.02	518	-0.85	3.92	-1.02	518
13	1	0.000422	3.37	3.34	70.2	2.75	2.82	70.2	2.75	2.82	197	70.2	2.75	2.82	197
12	1	0.000565	3.25	3.26	15.1	-84.9	36.6	15.1	-84.9	36.6	401	15.1	-84.9	36.6	401
11	1	0.000889	3.05	3.13	-28.9	-82	26	-28.9	-82	26	290	-28.9	-82	26	290
10	1	0.000722	3.14	3.19	59.3	-61.6	20	59.3	-61.6	20	299	59.3	-61.6	20	299
9	1	0.00085	3.07	3.14	-72.3	-38.2	19.6	-72.3	-38.2	19.6	406	-72.3	-38.2	19.6	406
8	1	8.1e-05	4.09	3.77	73.3	-22.7	12.8	73.3	-22.7	12.8	244	73.3	-22.7	12.8	244
7	1	0.000209	3.68	3.53	-0.602	12.2	8.85	-0.602	12.2	8.85	986	-0.602	12.2	8.85	986
6	1	0.000741	3.13	3.18	-26.9	68.6	-0.225	-26.9	68.6	-0.225	167	-26.9	68.6	-0.225	167
5	1	0.000956	3.02	3.1	76.7	-28.5	19.4	76.7	-28.5	19.4	138	76.7	-28.5	19.4	138
4	1	0.000834	3.08	3.14	-17.6	3.65	16.5	-17.6	3.65	16.5	242	-17.6	3.65	16.5	242
3	1	0.00061	3.21	3.23	23.6	48.3	7.52	23.6	48.3	7.52	268	23.6	48.3	7.52	268
2	1	0.000722	3.14	3.19	-12	-93.9	38.9	-12	-93.9	38.9	346	-12	-93.9	38.9	346
1	1	0.000457	3.34	3.32	-22.2	-85.5	26.5	-22.2	-85.5	26.5	291	-22.2	-85.5	26.5	291
