Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
69	2	0.000541	3.27	3.27	-10	59.1	6.6	-10	60.7	6.31	311	-10	62.4	6.02	263
68	2	0.000688	3.16	3.2	-44	47	9.67	-42.3	46.9	9.63	215	-40.6	46.9	9.59	208
67	2	2.75e-06	5.56	4.54	-65.4	-50.6	49.9	-65.4	-49.2	49.6	128	-65.3	-47.3	49.3	114
66	2	4.61e-05	4.34	3.91	37.8	62.8	38.5	36.1	62.9	38.5	87.5	37.8	62.8	38.5	82.8
65	2	0.000481	3.32	3.3	-62	-31.1	23.8	-60.3	-31.2	23.7	138	-58.6	-31.2	23.7	136
64	2	0.000626	3.2	3.23	-13.6	-15.8	87.6	-15.3	-17.4	87.9	146	-17.1	-19	88.2	137
63	2	7.08e-06	5.15	4.34	-35.1	-72.7	64.2	-33.7	-72.7	64.1	120	-31.7	-72.8	64.1	99.2
62	2	3.79e-05	4.42	3.96	-32.4	-90.9	33.3	-32.4	-92.4	33.6	178	-32.4	-90.9	33.3	130
61	2	0.000119	3.92	3.67	57.1	-4.06	44	58.7	-4.11	43.9	113	60.5	-4.16	43.9	106
60	2	0.000361	3.44	3.38	-17.3	-1.95	45.7	-17.3	-0.334	45.4	47.1	-17.3	-1.95	45.7	46.5
59	2	0.000458	3.34	3.32	67.3	10.3	29.8	69	10.3	29.8	78.9	67.3	10.3	29.8	68.5
58	2	0.000139	3.86	3.63	-16.6	16.2	76.4	-16.6	17.8	76.2	91.5	-16.6	16.2	76.4	82.2
57	1	0.00077	3.11	3.17	67.5	12.9	46.4	67.5	12.9	46.4	43.1	67.5	12.9	46.4	43.1
56	1	0.00025	3.6	3.48	-3.97	43.2	-30.4	-3.97	43.2	-30.4	144	-3.97	43.2	-30.4	144
55	1	0.000906	3.04	3.12	-4.06	-33.4	62.1	-4.06	-33.4	62.1	110	-4.06	-33.4	62.1	110
54	1	0.000954	3.02	3.1	-31	-20.4	54.9	-31	-20.4	54.9	68.3	-31	-20.4	54.9	68.3
53	1	0.000476	3.32	3.3	-10.6	-20.1	60	-10.6	-20.1	60	63.5	-10.6	-20.1	60	63.5
52	1	0.000878	3.06	3.13	-10.9	-42.2	69.5	-10.9	-42.2	69.5	121	-10.9	-42.2	69.5	121
51	1	0.000506	3.3	3.29	-59.6	-75.6	-2.48	-59.6	-75.6	-2.48	67.3	-59.6	-75.6	-2.48	67.3
