Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
76	2	3.58	69.4	-30.9	-19.6	67.8	-30.9	-19.5	101	66	-30.8	-19.5	95.2
75	2	3.22	-39.7	-74.7	-37.1	-38.1	-74.7	-37.2	176	-39.7	-74.7	-37.1	172
74	2	3.58	-45.9	-43.3	-31.1	-47.6	-44.8	-30.8	181	-45.9	-43.3	-31.1	164
73	2	3.94	59	-67.4	4.04	60.6	-67.5	4	82.9	59	-67.4	4.04	70.6
72	2	4.73	14.1	-73	-61.6	12.6	-73	-61.5	196	14.1	-73	-61.6	166
71	2	3.95	79.8	-28.7	-3.29	79.8	-27.1	-3.57	51.6	79.8	-28.7	-3.29	49.6
70	2	4.08	-39.9	-90.2	-28.8	-38.3	-88.7	-29.1	157	-36.4	-87	-29.4	127
69	2	4.19	11.3	-104	23	9.72	-104	23	89.6	11.3	-104	23	78.9
68	2	4.32	-35.1	-72.7	64.2	-33.6	-72.7	64.1	127	-31.7	-72.8	64.1	103
67	2	4.52	-25	-76.2	64.5	-25	-74.8	64.2	164	-25	-73	63.9	137
66	2	3.36	-17.3	1.32	45.1	-17.3	-0.315	45.4	48.1	-17.3	-1.95	45.7	48
65	2	3.33	-17.1	-19	88.2	-15.4	-17.4	87.9	154	-17.1	-19	88.2	141
64	2	4.09	37.8	62.8	38.5	36.2	62.9	38.5	93.6	37.8	62.8	38.5	87.2
63	2	3.47	19.6	-16.9	41.6	19.6	-18.5	41.9	69.8	19.6	-16.9	41.6	67.9
62	2	3.21	-17.1	-2.7	62.8	-17.1	-4.31	63.1	72.9	-17.1	-5.97	63.3	66.7
61	2	3.47	-20.4	3.95	61.7	-18.7	3.9	61.7	94	-17	3.85	61.6	88.7
60	2	3.82	-11.7	-84.8	54.3	-11.7	-83.3	54	125	-11.7	-81.6	53.7	113
59	2	3.46	20.4	41.1	25.8	22	41.1	25.8	134	23.7	41.1	25.7	130
58	2	3.31	-31	-20.4	54.9	-29.4	-20.4	54.9	74.4	-31	-20.4	54.9	68.3
57	2	4.1	47.5	25	56.1	47.5	23.5	56.4	96.4	47.5	21.7	56.7	87.6
56	2	3.72	-16.6	19.5	75.9	-16.6	17.8	76.2	95.2	-16.6	16.2	76.4	86.9
55	2	3.31	15.5	-44	18.2	15.6	-43.6	20.8	71.6	15.5	-44	18.2	68.9
54	2	3.15	6.42	25.9	11.9	4.74	26	11.9	190	3.04	26	12	161
53	2	4.26	-32.4	-90.9	33.3	-32.4	-92.4	33.6	190	-32.4	-90.9	33.3	137
52	2	3.48	67.3	10.3	29.8	68.9	10.3	29.8	84.7	67.3	10.3	29.8	72.4
51	1	3.25	33.6	-21.2	81.5	33.6	-21.2	81.5	123	33.6	-21.2	81.5	123
50	1	3.25	67.5	12.9	46.4	67.5	12.9	46.4	45.2	67.5	12.9	46.4	45.2
49	1	3.1	34.7	-53.9	-65.5	34.7	-53.9	-65.5	204	34.7	-53.9	-65.5	204
48	1	3.43	3.94	-81.7	-54.1	3.94	-81.7	-54.1	113	3.94	-81.7	-54.1	113
47	1	3.11	56	-21.6	-26.5	56	-21.6	-26.5	119	56	-21.6	-26.5	119
46	1	3.44	-10.6	-20.1	60	-10.6	-20.1	60	67.9	-10.6	-20.1	60	67.9
45	1	3.51	-62.8	-47.7	-18.6	-62.8	-47.7	-18.6	123	-62.8	-47.7	-18.6	123
44	1	3.09	9.46	-39.5	68.4	9.46	-39.5	68.4	87.8	9.46	-39.5	68.4	87.8
43	1	3.35	43.9	-6.01	72.9	43.9	-6.01	72.9	61.9	43.9	-6.01	72.9	61.9
42	1	3.38	10.7	46.5	59.1	10.7	46.5	59.1	141	10.7	46.5	59.1	141
41	1	3.13	-24.6	25.7	-38.1	-24.6	25.7	-38.1	78.9	-24.6	25.7	-38.1	78.9
40	1	3.14	59	-42.2	-28.6	59	-42.2	-28.6	164	59	-42.2	-28.6	164
39	1	3.31	-51.1	-23.8	73.1	-51.1	-23.8	73.1	162	-51.1	-23.8	73.1	162
38	1	3.4	55.4	-41.3	-45.6	55.4	-41.3	-45.6	226	55.4	-41.3	-45.6	226
37	1	3.84	-55.6	4.41	-50.4	-55.6	4.41	-50.4	83.3	-55.6	4.41	-50.4	83.3
36	1	3.84	-37.2	14.2	60.4	-37.2	14.2	60.4	107	-37.2	14.2	60.4	107
35	1	3.21	-40.3	30.7	57.6	-40.3	30.7	57.6	63.3	-40.3	30.7	57.6	63.3
34	1	3.18	-13	52.9	53	-13	52.9	53	77	-13	52.9	53	77
33	1	3.38	21	-97.6	-23.5	21	-97.6	-23.5	188	21	-97.6	-23.5	188
32	1	3.1	52.7	5.46	-48	52.7	5.46	-48	96	52.7	5.46	-48	96
31	1	3.34	-27.9	-54	77.7	-27.9	-54	77.7	201	-27.9	-54	77.7	201
30	1	3.29	24.9	-66.5	-17.8	24.9	-66.5	-17.8	180	24.9	-66.5	-17.8	180
