Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
83	6	3.34e-05	4.48	3.99	-55.2	-16.6	9.75	-57.4	-20.1	12.3	379	-58.5	-19	15.9	298
82	6	2.11e-05	4.68	4.1	-10.5	1.13	45	-9.94	0.458	45.1	235	-10.5	1.13	45	203
81	6	7.32e-05	4.14	3.8	23.1	-35.7	73	26.8	-35.1	71	344	26.5	-35.8	73	268
80	6	2.26e-05	4.65	4.08	-10.4	58.2	-21.5	-8.73	58.1	-21.5	581	-6.97	61.4	-22.1	480
79	5	0.000177	3.75	3.57	8	-97	21.9	8.05	-93.5	23.5	307	8	-97	21.9	239
78	5	3.5e-05	4.46	3.98	-55.3	-40.3	30.8	-53.3	-37.9	30.4	297	-51.9	-37.1	30.2	267
77	4	7.82e-05	4.11	3.78	-13.5	66.5	-11.6	-15.1	68.2	-11.8	534	-13.5	66.5	-11.6	405
76	4	0.000217	3.66	3.52	-7.93	-49.8	42.4	-9.57	-48.1	42.2	300	-11.3	-49.7	42.5	275
75	4	1.31e-06	5.88	4.7	-34.9	-62	67.9	-38	-60.4	67.8	457	-38.3	-61.9	68	409
74	4	0.000509	3.29	3.29	-38.7	-15.6	-24.8	-37.8	-12.4	-25.4	221	-35.3	-10	-31.5	182
73	4	0.000381	3.42	3.37	-72.3	-38.2	19.6	-70.6	-36.6	19.3	376	-72.3	-34.9	19.1	329
72	4	1.43e-05	4.84	4.18	22.5	-27.8	15.1	21	-26.1	14.9	279	22.5	-27.8	15.1	232
71	4	3.75e-05	4.43	3.96	41.8	-72.7	-11.5	41.9	-72	-11.6	388	41.8	-72.7	-11.5	331
70	3	0.000308	3.51	3.42	-46	-86.5	16	-46	-83.3	15.4	471	-46	-86.5	16	392
69	3	0.000221	3.66	3.51	-41.3	-35.6	63.5	-42.4	-36.7	63.8	338	-41.3	-38.9	64.1	298
68	3	3.12e-05	4.51	4	-56.1	-71.5	2.37	-54.9	-70.6	2.18	312	-56.1	-71.5	2.37	278
67	3	5.59e-05	4.25	3.86	-45.8	-81.6	26.4	-44.7	-83.7	26.8	419	-45.8	-81.6	26.4	396
66	3	0.000509	3.29	3.29	-42.2	-31	-16.4	-41.1	-30	-16.6	177	-42.1	-27.8	-16.9	159
65	3	0.000142	3.85	3.63	29.1	-4.43	-28.7	31.4	-3.42	-28.9	236	29.1	-4.43	-28.7	194
64	3	3.67e-05	4.44	3.96	43	27.1	-40.2	44.1	28.1	-40.4	366	43	27.1	-40.2	276
63	3	0.000212	3.67	3.52	-47.9	11.1	16	-51.2	11.2	16.1	269	-54.7	11.3	16.2	243
62	3	3.93e-05	4.41	3.95	-12	-93.9	38.9	-14.1	-92.8	38.8	430	-15.4	-90.6	38.4	370
61	3	0.000553	3.26	3.26	4.44	-59.5	-41	7.71	-61.5	-46.4	230	7.74	-60.5	-46.6	213
60	3	0.000251	3.6	3.48	-33	-61	-56.7	-35.1	-59.9	-56.8	252	-36.3	-57.6	-57.1	234
